Heavy particle collisions / Elastic Scattering / H, H --> H
IAEA-APID-8 (1998)
Differential cross sections
 
Validity limits and fit function with fit parameters


ID	Process	Reaction	Validity limits in sr	Energy origin	Limits in authors' unit	Fit function
1	EL	H, H (E= .100 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
2	EL	H, H (E= 1.00 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
3	EL	H, H (E= 1.25 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
4	EL	H, H (E= 1.58 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
5	EL	H, H (E= 1.99 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
6	EL	H, H (E= 2.51 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
7	EL	H, H (E= 3.16 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
8	EL	H, H (E= 3.98 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
9	EL	H, H (E= 5.01 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
10	EL	H, H (E= 6.30 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
11	EL	H, H (E= 7.94 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
12	EL	H, H (E= .125 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
13	EL	H, H (E= 10.0 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
14	EL	H, H (E= 12.5 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
15	EL	H, H (E= 15.8 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
16	EL	H, H (E= 19.9 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
17	EL	H, H (E= 25.1 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
18	EL	H, H (E= 31.6 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
19	EL	H, H (E= 39.8 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
20	EL	H, H (E= 50.1 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
21	EL	H, H (E= 63.0 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
22	EL	H, H (E= 79.4 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
23	EL	H, H (E= .158 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
24	EL	H, H (E= 100. eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
25	EL	H, H (E= .199 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
26	EL	H, H (E= .251 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
27	EL	H, H (E= .316 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
28	EL	H, H (E= .398 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
29	EL	H, H (E= .501 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
30	EL	H, H (E= .631 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
31	EL	H, H (E= .794 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
Units conversion	Graphic layouts	Output options
x	Energy origin	y

sr

Projectile

cm2
cm2
vs
sr	PNG file
PDF file
GZipped PostScript file
XML
Numerical data
   1   	H, H (E= .100 eV CM Energy) --> H, H

P.S. Krstic, D.R. Schultz
IAEA-APID-8 (1998)
User Units	Authors' Units
Angle in sr (CenterOfMass)	Cross section in cm2	Differential cross sections cm2 vs rd (CenterOfMass)
4.4934E-01	8.9183E-16	4.4934E-01	3.1848E+01
4.5385E-01	9.2281E-16	4.5385E-01	3.2954E+01
4.5837E-01	9.3403E-16	4.5837E-01	3.3355E+01
4.6292E-01	9.2658E-16	4.6292E-01	3.3089E+01
4.6748E-01	9.0424E-16	4.6748E-01	3.2291E+01
4.7206E-01	8.7260E-16	4.7206E-01	3.1161E+01
4.7666E-01	8.3793E-16	4.7666E-01	2.9923E+01
4.8127E-01	8.0613E-16	4.8127E-01	2.8788E+01
4.8591E-01	7.8186E-16	4.8591E-01	2.7921E+01
4.9056E-01	7.6776E-16	4.9056E-01	2.7417E+01
4.9523E-01	7.6418E-16	4.9523E-01	2.7290E+01
4.9992E-01	7.6914E-16	4.9992E-01	2.7466E+01
5.0463E-01	7.7876E-16	5.0463E-01	2.7810E+01
5.0935E-01	7.8815E-16	5.0935E-01	2.8145E+01
5.1409E-01	7.9251E-16	5.1409E-01	2.8301E+01
5.1885E-01	7.8825E-16	5.1885E-01	2.8149E+01
5.2363E-01	7.7387E-16	5.2363E-01	2.7635E+01
5.2843E-01	7.5036E-16	5.2843E-01	2.6796E+01
5.3324E-01	7.2099E-16	5.3324E-01	2.5747E+01
5.3807E-01	6.9065E-16	5.3807E-01	2.4664E+01
5.4292E-01	6.6482E-16	5.4292E-01	2.3741E+01
5.4778E-01	6.4853E-16	5.4778E-01	2.3160E+01
5.5266E-01	6.4547E-16	5.5266E-01	2.3050E+01
5.5756E-01	6.5719E-16	5.5756E-01	2.3469E+01
5.6248E-01	6.8278E-16	5.6248E-01	2.4383E+01
5.6741E-01	7.1881E-16	5.6741E-01	2.5669E+01
5.7236E-01	7.5978E-16	5.7236E-01	2.7132E+01
5.7732E-01	7.9903E-16	5.7732E-01	2.8534E+01
5.8230E-01	8.3003E-16	5.8230E-01	2.9641E+01
5.8730E-01	8.4767E-16	5.8730E-01	3.0271E+01
5.9232E-01	8.4925E-16	5.9232E-01	3.0327E+01
5.9735E-01	8.3494E-16	5.9735E-01	2.9816E+01
6.0240E-01	8.0750E-16	6.0240E-01	2.8837E+01
6.0746E-01	7.7172E-16	6.0746E-01	2.7559E+01
6.1254E-01	7.3335E-16	6.1254E-01	2.6188E+01
6.1764E-01	6.9819E-16	6.1764E-01	2.4933E+01
6.2275E-01	6.7109E-16	6.2275E-01	2.3965E+01
6.2788E-01	6.5505E-16	6.2788E-01	2.3392E+01
6.3302E-01	6.5061E-16	6.3302E-01	2.3234E+01
6.3818E-01	6.5562E-16	6.3818E-01	2.3413E+01
6.4336E-01	6.6577E-16	6.4336E-01	2.3775E+01
6.4854E-01	6.7555E-16	6.4854E-01	2.4124E+01
6.5375E-01	6.7967E-16	6.5375E-01	2.4271E+01
6.5897E-01	6.7418E-16	6.5897E-01	2.4075E+01
6.6421E-01	6.5723E-16	6.6421E-01	2.3470E+01
6.6946E-01	6.2911E-16	6.6946E-01	2.2466E+01
6.7473E-01	5.9201E-16	6.7473E-01	2.1141E+01
6.8001E-01	5.4942E-16	6.8001E-01	1.9620E+01
6.8530E-01	5.0560E-16	6.8530E-01	1.8055E+01
6.9061E-01	4.6486E-16	6.9061E-01	1.6600E+01
6.9594E-01	4.3082E-16	6.9594E-01	1.5385E+01
7.0128E-01	4.0575E-16	7.0128E-01	1.4490E+01
7.0664E-01	3.9018E-16	7.0664E-01	1.3934E+01
7.1201E-01	3.8311E-16	7.1201E-01	1.3681E+01
7.1739E-01	3.8256E-16	7.1739E-01	1.3661E+01
7.2279E-01	3.8644E-16	7.2279E-01	1.3800E+01
7.2820E-01	3.9319E-16	7.2820E-01	1.4041E+01
7.3363E-01	4.0207E-16	7.3363E-01	1.4358E+01
7.3907E-01	4.1320E-16	7.3907E-01	1.4756E+01
7.4452E-01	4.2733E-16	7.4452E-01	1.5260E+01
7.4999E-01	4.4551E-16	7.4999E-01	1.5910E+01
7.5547E-01	4.6871E-16	7.5547E-01	1.6738E+01
7.6097E-01	4.9730E-16	7.6097E-01	1.7759E+01
7.6648E-01	5.3054E-16	7.6648E-01	1.8946E+01
7.7200E-01	5.6643E-16	7.7200E-01	2.0228E+01
7.7753E-01	6.0177E-16	7.7753E-01	2.1489E+01
7.8308E-01	6.3277E-16	7.8308E-01	2.2596E+01
7.8864E-01	6.5585E-16	7.8864E-01	2.3421E+01
7.9422E-01	6.6837E-16	7.9422E-01	2.3868E+01
7.9981E-01	6.6920E-16	7.9981E-01	2.3898E+01
8.0541E-01	6.5886E-16	8.0541E-01	2.3528E+01
8.1102E-01	6.3945E-16	8.1102E-01	2.2835E+01
8.1665E-01	6.1422E-16	8.1665E-01	2.1934E+01
8.2229E-01	5.8703E-16	8.2229E-01	2.0963E+01
8.2794E-01	5.6158E-16	8.2794E-01	2.0054E+01
8.3360E-01	5.4071E-16	8.3360E-01	1.9309E+01
8.3928E-01	5.2591E-16	8.3928E-01	1.8781E+01
8.4497E-01	5.1706E-16	8.4497E-01	1.8464E+01
8.5067E-01	5.1259E-16	8.5067E-01	1.8305E+01
8.5638E-01	5.0996E-16	8.5638E-01	1.8211E+01
8.6211E-01	5.0626E-16	8.6211E-01	1.8079E+01
8.6784E-01	4.9890E-16	8.6784E-01	1.7816E+01
8.7359E-01	4.8610E-16	8.7359E-01	1.7359E+01
8.7935E-01	4.6716E-16	8.7935E-01	1.6683E+01
8.8512E-01	4.4252E-16	8.8512E-01	1.5803E+01
8.9091E-01	4.1374E-16	8.9091E-01	1.4775E+01
8.9670E-01	3.8324E-16	8.9670E-01	1.3686E+01
9.0251E-01	3.5407E-16	9.0251E-01	1.2644E+01
9.0832E-01	3.2938E-16	9.0832E-01	1.1762E+01
9.1415E-01	3.1193E-16	9.1415E-01	1.1139E+01
9.1999E-01	3.0358E-16	9.1999E-01	1.0841E+01
9.2584E-01	3.0506E-16	9.2584E-01	1.0894E+01
9.3170E-01	3.1593E-16	9.3170E-01	1.1282E+01
9.3757E-01	3.3472E-16	9.3757E-01	1.1953E+01
9.4345E-01	3.5900E-16	9.4345E-01	1.2820E+01
9.4935E-01	3.8566E-16	9.4935E-01	1.3772E+01
9.5525E-01	4.1133E-16	9.5525E-01	1.4689E+01
9.6116E-01	4.3299E-16	9.6116E-01	1.5462E+01
9.6708E-01	4.4867E-16	9.6708E-01	1.6022E+01
9.7302E-01	4.5776E-16	9.7302E-01	1.6347E+01
9.7896E-01	4.6099E-16	9.7896E-01	1.6462E+01
9.8491E-01	4.6008E-16	9.8491E-01	1.6430E+01
9.9088E-01	4.5725E-16	9.9088E-01	1.6329E+01
9.9685E-01	4.5475E-16	9.9685E-01	1.6239E+01
1.0028E+00	4.5436E-16	1.0028E+00	1.6226E+01
1.0088E+00	4.5689E-16	1.0088E+00	1.6316E+01
1.0148E+00	4.6181E-16	1.0148E+00	1.6492E+01
1.0208E+00	4.6715E-16	1.0208E+00	1.6682E+01
1.0269E+00	4.6998E-16	1.0269E+00	1.6783E+01
1.0329E+00	4.6733E-16	1.0329E+00	1.6689E+01
1.0389E+00	4.5723E-16	1.0389E+00	1.6328E+01
1.0450E+00	4.3967E-16	1.0450E+00	1.5701E+01
1.0510E+00	4.1695E-16	1.0510E+00	1.4889E+01
1.0571E+00	3.9351E-16	1.0571E+00	1.4052E+01
1.0632E+00	3.7509E-16	1.0632E+00	1.3395E+01
1.0692E+00	3.6741E-16	1.0692E+00	1.3120E+01
1.0753E+00	3.7469E-16	1.0753E+00	1.3380E+01
1.0814E+00	3.9837E-16	1.0814E+00	1.4226E+01
1.0875E+00	4.3639E-16	1.0875E+00	1.5584E+01
1.0937E+00	4.8327E-16	1.0937E+00	1.7258E+01
1.0998E+00	5.3097E-16	1.0998E+00	1.8961E+01
1.1059E+00	5.7056E-16	1.1059E+00	2.0375E+01
1.1120E+00	5.9423E-16	1.1120E+00	2.1220E+01
1.1182E+00	5.9726E-16	1.1182E+00	2.1328E+01
1.1243E+00	5.7929E-16	1.1243E+00	2.0687E+01
1.1305E+00	5.4456E-16	1.1305E+00	1.9447E+01
1.1367E+00	5.0107E-16	1.1367E+00	1.7893E+01
1.1428E+00	4.5887E-16	1.1428E+00	1.6386E+01
1.1490E+00	4.2796E-16	1.1490E+00	1.5283E+01
1.1552E+00	4.1607E-16	1.1552E+00	1.4858E+01
1.1614E+00	4.2681E-16	1.1614E+00	1.5242E+01
1.1676E+00	4.5873E-16	1.1676E+00	1.6382E+01
1.1738E+00	5.0569E-16	1.1738E+00	1.8058E+01
1.1800E+00	5.5835E-16	1.1800E+00	1.9939E+01
1.1863E+00	6.0658E-16	1.1863E+00	2.1661E+01
1.1925E+00	6.4165E-16	1.1925E+00	2.2914E+01
1.1987E+00	6.5790E-16	1.1987E+00	2.3494E+01
1.2050E+00	6.5352E-16	1.2050E+00	2.3338E+01
1.2112E+00	6.3044E-16	1.2112E+00	2.2514E+01
1.2175E+00	5.9345E-16	1.2175E+00	2.1193E+01
1.2237E+00	5.4871E-16	1.2237E+00	1.9595E+01
1.2300E+00	5.0200E-16	1.2300E+00	1.7927E+01
1.2363E+00	4.5736E-16	1.2363E+00	1.6333E+01
1.2425E+00	4.1657E-16	1.2425E+00	1.4876E+01
1.2488E+00	3.7948E-16	1.2488E+00	1.3552E+01
1.2551E+00	3.4505E-16	1.2551E+00	1.2322E+01
1.2614E+00	3.1232E-16	1.2614E+00	1.1153E+01
1.2677E+00	2.8124E-16	1.2677E+00	1.0043E+01
1.2740E+00	2.5311E-16	1.2740E+00	9.0387E+00
1.2803E+00	2.3046E-16	1.2803E+00	8.2299E+00
1.2866E+00	2.1641E-16	1.2866E+00	7.7281E+00
1.2929E+00	2.1354E-16	1.2929E+00	7.6258E+00
1.2993E+00	2.2280E-16	1.2993E+00	7.9562E+00
1.3056E+00	2.4277E-16	1.3056E+00	8.6693E+00
1.3119E+00	2.6991E-16	1.3119E+00	9.6385E+00
1.3182E+00	2.9944E-16	1.3182E+00	1.0693E+01
1.3246E+00	3.2671E-16	1.3246E+00	1.1667E+01
1.3309E+00	3.4852E-16	1.3309E+00	1.2446E+01
1.3373E+00	3.6403E-16	1.3373E+00	1.3000E+01
1.3436E+00	3.7513E-16	1.3436E+00	1.3396E+01
1.3500E+00	3.8587E-16	1.3500E+00	1.3780E+01
1.3563E+00	4.0125E-16	1.3563E+00	1.4329E+01
1.3627E+00	4.2566E-16	1.3627E+00	1.5200E+01
1.3691E+00	4.6131E-16	1.3691E+00	1.6474E+01
1.3755E+00	5.0731E-16	1.3755E+00	1.8117E+01
1.3818E+00	5.5943E-16	1.3818E+00	1.9978E+01
1.3882E+00	6.1084E-16	1.3882E+00	2.1814E+01
1.3946E+00	6.5359E-16	1.3946E+00	2.3340E+01
1.4010E+00	6.8045E-16	1.4010E+00	2.4299E+01
1.4074E+00	6.8647E-16	1.4074E+00	2.4514E+01
1.4137E+00	6.6990E-16	1.4137E+00	2.3922E+01
1.4201E+00	6.3227E-16	1.4201E+00	2.2579E+01
1.4265E+00	5.7785E-16	1.4265E+00	2.0635E+01
1.4329E+00	5.1268E-16	1.4329E+00	1.8308E+01
1.4393E+00	4.4346E-16	1.4393E+00	1.5836E+01
1.4457E+00	3.7629E-16	1.4457E+00	1.3437E+01
1.4521E+00	3.1588E-16	1.4521E+00	1.1280E+01
1.4585E+00	2.6530E-16	1.4585E+00	9.4740E+00
1.4649E+00	2.2628E-16	1.4649E+00	8.0806E+00
1.4713E+00	1.9987E-16	1.4713E+00	7.1374E+00
1.4777E+00	1.8678E-16	1.4777E+00	6.6700E+00
1.4842E+00	1.8740E-16	1.4842E+00	6.6923E+00
1.4906E+00	2.0152E-16	1.4906E+00	7.1965E+00
1.4970E+00	2.2804E-16	1.4970E+00	8.1436E+00
1.5034E+00	2.6481E-16	1.5034E+00	9.4565E+00
1.5098E+00	3.0851E-16	1.5098E+00	1.1017E+01
1.5162E+00	3.5482E-16	1.5162E+00	1.2671E+01
1.5226E+00	3.9888E-16	1.5226E+00	1.4244E+01
1.5291E+00	4.3619E-16	1.5291E+00	1.5577E+01
1.5355E+00	4.6363E-16	1.5355E+00	1.6556E+01
1.5419E+00	4.8020E-16	1.5419E+00	1.7148E+01
1.5483E+00	4.8717E-16	1.5483E+00	1.7397E+01
1.5547E+00	4.8752E-16	1.5547E+00	1.7410E+01
1.5612E+00	4.8492E-16	1.5612E+00	1.7317E+01
1.5676E+00	4.8266E-16	1.5676E+00	1.7236E+01
1.5740E+00	4.8266E-16	1.5740E+00	1.7236E+01
1.5804E+00	4.8492E-16	1.5804E+00	1.7317E+01
1.5869E+00	4.8752E-16	1.5869E+00	1.7410E+01
1.5933E+00	4.8717E-16	1.5933E+00	1.7397E+01
1.5997E+00	4.8020E-16	1.5997E+00	1.7148E+01
1.6061E+00	4.6363E-16	1.6061E+00	1.6556E+01
1.6125E+00	4.3619E-16	1.6125E+00	1.5577E+01
1.6189E+00	3.9888E-16	1.6189E+00	1.4244E+01
1.6254E+00	3.5482E-16	1.6254E+00	1.2671E+01
1.6318E+00	3.0851E-16	1.6318E+00	1.1017E+01
1.6382E+00	2.6481E-16	1.6382E+00	9.4565E+00
1.6446E+00	2.2804E-16	1.6446E+00	8.1436E+00
1.6510E+00	2.0152E-16	1.6510E+00	7.1965E+00
1.6574E+00	1.8740E-16	1.6574E+00	6.6923E+00
1.6639E+00	1.8678E-16	1.6639E+00	6.6700E+00
1.6703E+00	1.9987E-16	1.6703E+00	7.1374E+00
1.6767E+00	2.2628E-16	1.6767E+00	8.0806E+00
1.6831E+00	2.6530E-16	1.6831E+00	9.4740E+00
1.6895E+00	3.1588E-16	1.6895E+00	1.1280E+01
1.6959E+00	3.7629E-16	1.6959E+00	1.3437E+01
1.7023E+00	4.4346E-16	1.7023E+00	1.5836E+01
1.7087E+00	5.1268E-16	1.7087E+00	1.8308E+01
1.7151E+00	5.7785E-16	1.7151E+00	2.0635E+01
1.7215E+00	6.3227E-16	1.7215E+00	2.2579E+01
1.7279E+00	6.6990E-16	1.7279E+00	2.3922E+01
1.7342E+00	6.8647E-16	1.7342E+00	2.4514E+01
1.7406E+00	6.8045E-16	1.7406E+00	2.4299E+01
1.7470E+00	6.5359E-16	1.7470E+00	2.3340E+01
1.7534E+00	6.1084E-16	1.7534E+00	2.1814E+01
1.7598E+00	5.5943E-16	1.7598E+00	1.9978E+01
1.7661E+00	5.0731E-16	1.7661E+00	1.8117E+01
1.7725E+00	4.6131E-16	1.7725E+00	1.6474E+01
1.7789E+00	4.2566E-16	1.7789E+00	1.5200E+01
1.7852E+00	4.0125E-16	1.7852E+00	1.4329E+01
1.7916E+00	3.8587E-16	1.7916E+00	1.3780E+01
1.7980E+00	3.7513E-16	1.7980E+00	1.3396E+01
1.8043E+00	3.6403E-16	1.8043E+00	1.3000E+01
1.8106E+00	3.4852E-16	1.8106E+00	1.2446E+01
1.8170E+00	3.2671E-16	1.8170E+00	1.1667E+01
1.8233E+00	2.9944E-16	1.8233E+00	1.0693E+01
1.8297E+00	2.6991E-16	1.8297E+00	9.6385E+00
1.8360E+00	2.4277E-16	1.8360E+00	8.6693E+00
1.8423E+00	2.2280E-16	1.8423E+00	7.9562E+00
1.8487E+00	2.1354E-16	1.8487E+00	7.6258E+00
1.8550E+00	2.1641E-16	1.8550E+00	7.7281E+00
1.8613E+00	2.3046E-16	1.8613E+00	8.2299E+00
1.8676E+00	2.5311E-16	1.8676E+00	9.0387E+00
1.8739E+00	2.8124E-16	1.8739E+00	1.0043E+01
1.8802E+00	3.1232E-16	1.8802E+00	1.1153E+01
1.8865E+00	3.4505E-16	1.8865E+00	1.2322E+01
1.8928E+00	3.7948E-16	1.8928E+00	1.3552E+01
1.8991E+00	4.1657E-16	1.8991E+00	1.4876E+01
1.9053E+00	4.5736E-16	1.9053E+00	1.6333E+01
1.9116E+00	5.0200E-16	1.9116E+00	1.7927E+01
1.9179E+00	5.4871E-16	1.9179E+00	1.9595E+01
1.9241E+00	5.9345E-16	1.9241E+00	2.1193E+01
1.9304E+00	6.3044E-16	1.9304E+00	2.2514E+01
1.9366E+00	6.5352E-16	1.9366E+00	2.3338E+01
1.9429E+00	6.5790E-16	1.9429E+00	2.3494E+01
1.9491E+00	6.4165E-16	1.9491E+00	2.2914E+01
1.9553E+00	6.0658E-16	1.9553E+00	2.1661E+01
1.9616E+00	5.5835E-16	1.9616E+00	1.9939E+01
1.9678E+00	5.0569E-16	1.9678E+00	1.8058E+01
1.9740E+00	4.5873E-16	1.9740E+00	1.6382E+01
1.9802E+00	4.2681E-16	1.9802E+00	1.5242E+01
1.9864E+00	4.1607E-16	1.9864E+00	1.4858E+01
1.9926E+00	4.2796E-16	1.9926E+00	1.5283E+01
1.9988E+00	4.5887E-16	1.9988E+00	1.6386E+01
2.0049E+00	5.0107E-16	2.0049E+00	1.7893E+01
2.0111E+00	5.4456E-16	2.0111E+00	1.9447E+01
2.0173E+00	5.7929E-16	2.0173E+00	2.0687E+01
2.0234E+00	5.9726E-16	2.0234E+00	2.1328E+01
2.0296E+00	5.9423E-16	2.0296E+00	2.1220E+01
2.0357E+00	5.7056E-16	2.0357E+00	2.0375E+01
2.0418E+00	5.3097E-16	2.0418E+00	1.8961E+01
2.0480E+00	4.8327E-16	2.0480E+00	1.7258E+01
2.0541E+00	4.3639E-16	2.0541E+00	1.5584E+01
2.0602E+00	3.9837E-16	2.0602E+00	1.4226E+01
2.0663E+00	3.7469E-16	2.0663E+00	1.3380E+01
2.0724E+00	3.6741E-16	2.0724E+00	1.3120E+01
2.0784E+00	3.7509E-16	2.0784E+00	1.3395E+01
2.0845E+00	3.9351E-16	2.0845E+00	1.4052E+01
2.0906E+00	4.1695E-16	2.0906E+00	1.4889E+01
2.0966E+00	4.3967E-16	2.0966E+00	1.5701E+01
2.1027E+00	4.5723E-16	2.1027E+00	1.6328E+01
2.1087E+00	4.6733E-16	2.1087E+00	1.6689E+01
2.1147E+00	4.6998E-16	2.1147E+00	1.6783E+01
2.1208E+00	4.6715E-16	2.1208E+00	1.6682E+01
2.1268E+00	4.6181E-16	2.1268E+00	1.6492E+01
2.1328E+00	4.5689E-16	2.1328E+00	1.6316E+01
2.1388E+00	4.5436E-16	2.1388E+00	1.6226E+01
2.1447E+00	4.5475E-16	2.1447E+00	1.6239E+01
2.1507E+00	4.5725E-16	2.1507E+00	1.6329E+01
2.1567E+00	4.6008E-16	2.1567E+00	1.6430E+01
2.1626E+00	4.6099E-16	2.1626E+00	1.6462E+01
2.1686E+00	4.5776E-16	2.1686E+00	1.6347E+01
2.1745E+00	4.4867E-16	2.1745E+00	1.6022E+01
2.1804E+00	4.3299E-16	2.1804E+00	1.5462E+01
2.1863E+00	4.1133E-16	2.1863E+00	1.4689E+01
2.1923E+00	3.8566E-16	2.1923E+00	1.3772E+01
2.1981E+00	3.5900E-16	2.1981E+00	1.2820E+01
2.2040E+00	3.3472E-16	2.2040E+00	1.1953E+01
2.2099E+00	3.1593E-16	2.2099E+00	1.1282E+01
2.2157E+00	3.0506E-16	2.2157E+00	1.0894E+01
2.2216E+00	3.0358E-16	2.2216E+00	1.0841E+01
2.2274E+00	3.1193E-16	2.2274E+00	1.1139E+01
2.2333E+00	3.2938E-16	2.2333E+00	1.1762E+01
2.2391E+00	3.5407E-16	2.2391E+00	1.2644E+01
2.2449E+00	3.8324E-16	2.2449E+00	1.3686E+01
2.2507E+00	4.1374E-16	2.2507E+00	1.4775E+01
2.2565E+00	4.4252E-16	2.2565E+00	1.5803E+01
2.2622E+00	4.6716E-16	2.2622E+00	1.6683E+01
2.2680E+00	4.8610E-16	2.2680E+00	1.7359E+01
2.2738E+00	4.9890E-16	2.2738E+00	1.7816E+01
2.2795E+00	5.0626E-16	2.2795E+00	1.8079E+01
2.2852E+00	5.0996E-16	2.2852E+00	1.8211E+01
2.2909E+00	5.1259E-16	2.2909E+00	1.8305E+01
2.2966E+00	5.1706E-16	2.2966E+00	1.8464E+01
2.3023E+00	5.2591E-16	2.3023E+00	1.8781E+01
2.3080E+00	5.4071E-16	2.3080E+00	1.9309E+01
2.3136E+00	5.6158E-16	2.3136E+00	2.0054E+01
2.3193E+00	5.8703E-16	2.3193E+00	2.0963E+01
2.3249E+00	6.1422E-16	2.3249E+00	2.1934E+01
2.3306E+00	6.3945E-16	2.3306E+00	2.2835E+01
2.3362E+00	6.5886E-16	2.3362E+00	2.3528E+01
2.3418E+00	6.6920E-16	2.3418E+00	2.3898E+01
2.3474E+00	6.6837E-16	2.3474E+00	2.3868E+01
2.3529E+00	6.5585E-16	2.3529E+00	2.3421E+01
2.3585E+00	6.3277E-16	2.3585E+00	2.2596E+01
2.3641E+00	6.0177E-16	2.3641E+00	2.1489E+01
2.3696E+00	5.6643E-16	2.3696E+00	2.0228E+01
2.3751E+00	5.3054E-16	2.3751E+00	1.8946E+01
2.3806E+00	4.9730E-16	2.3806E+00	1.7759E+01
2.3861E+00	4.6871E-16	2.3861E+00	1.6738E+01
2.3916E+00	4.4551E-16	2.3916E+00	1.5910E+01
2.3971E+00	4.2733E-16	2.3971E+00	1.5260E+01
2.4025E+00	4.1320E-16	2.4025E+00	1.4756E+01
2.4080E+00	4.0207E-16	2.4080E+00	1.4358E+01
