Heavy particle collisions / Elastic Scattering / H, H2
Differential cross sections
 
Validity limits and fit function with fit parameters


ID	Process	Reaction	Validity limits in sr	Energy origin	Limits in authors' unit	Fit function
1	EL	H, H2 (E= .100 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
2	EL	H, H2 (E= 1.00 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
3	EL	H, H2 (E= 1.25 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
4	EL	H, H2 (E= 1.58 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
5	EL	H, H2 (E= 1.99 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
6	EL	H, H2 (E= 2.51 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
7	EL	H, H2 (E= 3.16 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
8	EL	H, H2 (E= 3.98 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
9	EL	H, H2 (E= 5.01 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
10	EL	H, H2 (E= 6.30 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
11	EL	H, H2 (E= 7.94 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
12	EL	H, H2 (E= .125 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
13	EL	H, H2 (E= 10.0 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
14	EL	H, H2 (E= 19.9 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
15	EL	H, H2 (E= 50.1 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
16	EL	H, H2 (E= .158 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
17	EL	H, H2 (E= 100. eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
18	EL	H, H2 (E= .199 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
19	EL	H, H2 (E= .251 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
20	EL	H, H2 (E= .316 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
21	EL	H, H2 (E= .398 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
22	EL	H, H2 (E= .501 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
23	EL	H, H2 (E= .631 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
24	EL	H, H2 (E= .794 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
Units conversion	Graphic layouts	Output options
x	Energy origin	y

sr

Projectile

cm2
cm2
vs
sr	PNG file
PDF file
GZipped PostScript file
XML
Numerical data
   1   	H, H2 (E= .100 eV CM Energy) --> H, H2

P.S. Krstic, D.R. Schultz
IAEA-APID-8 (1998)
User Units	Authors' Units
Angle in sr (CenterOfMass)	Cross section in cm2	Differential cross sections cm2 vs rd (CenterOfMass)
8.7359E-01	3.1057E-16	8.7359E-01	1.1091E+01
8.7935E-01	3.0999E-16	8.7935E-01	1.1070E+01
8.8512E-01	3.0919E-16	8.8512E-01	1.1041E+01
8.9091E-01	3.0792E-16	8.9091E-01	1.0996E+01
8.9670E-01	3.0603E-16	8.9670E-01	1.0928E+01
9.0251E-01	3.0359E-16	9.0251E-01	1.0841E+01
9.0832E-01	3.0079E-16	9.0832E-01	1.0741E+01
9.1415E-01	2.9780E-16	9.1415E-01	1.0635E+01
9.1999E-01	2.9470E-16	9.1999E-01	1.0524E+01
9.2584E-01	2.9140E-16	9.2584E-01	1.0406E+01
9.3170E-01	2.8775E-16	9.3170E-01	1.0276E+01
9.3757E-01	2.8369E-16	9.3757E-01	1.0131E+01
9.4345E-01	2.7930E-16	9.4345E-01	9.9741E+00
9.4935E-01	2.7482E-16	9.4935E-01	9.8140E+00
9.5525E-01	2.7048E-16	9.5525E-01	9.6592E+00
9.6116E-01	2.6643E-16	9.6116E-01	9.5143E+00
9.6708E-01	2.6264E-16	9.6708E-01	9.3791E+00
9.7302E-01	2.5902E-16	9.7302E-01	9.2499E+00
9.7896E-01	2.5550E-16	9.7896E-01	9.1241E+00
9.8491E-01	2.5210E-16	9.8491E-01	9.0027E+00
9.9088E-01	2.4893E-16	9.9088E-01	8.8895E+00
9.9685E-01	2.4605E-16	9.9685E-01	8.7868E+00
1.0028E+00	2.4338E-16	1.0028E+00	8.6913E+00
1.0088E+00	2.4070E-16	1.0088E+00	8.5956E+00
1.0148E+00	2.3782E-16	1.0148E+00	8.4929E+00
1.0208E+00	2.3469E-16	1.0208E+00	8.3809E+00
1.0269E+00	2.3141E-16	1.0269E+00	8.2636E+00
1.0329E+00	2.2815E-16	1.0329E+00	8.1474E+00
1.0389E+00	2.2501E-16	1.0389E+00	8.0352E+00
1.0450E+00	2.2187E-16	1.0450E+00	7.9232E+00
1.0510E+00	2.1852E-16	1.0510E+00	7.8035E+00
1.0571E+00	2.1480E-16	1.0571E+00	7.6708E+00
1.0632E+00	2.1078E-16	1.0632E+00	7.5271E+00
1.0692E+00	2.0670E-16	1.0692E+00	7.3814E+00
1.0753E+00	2.0284E-16	1.0753E+00	7.2435E+00
1.0814E+00	1.9932E-16	1.0814E+00	7.1180E+00
1.0875E+00	1.9605E-16	1.0875E+00	7.0011E+00
1.0937E+00	1.9277E-16	1.0937E+00	6.8839E+00
1.0998E+00	1.8927E-16	1.0998E+00	6.7589E+00
1.1059E+00	1.8552E-16	1.1059E+00	6.6250E+00
1.1120E+00	1.8165E-16	1.1120E+00	6.4869E+00
1.1182E+00	1.7783E-16	1.1182E+00	6.3504E+00
1.1243E+00	1.7411E-16	1.1243E+00	6.2176E+00
1.1305E+00	1.7043E-16	1.1305E+00	6.0861E+00
1.1367E+00	1.6670E-16	1.1367E+00	5.9531E+00
1.1428E+00	1.6294E-16	1.1428E+00	5.8189E+00
1.1490E+00	1.5929E-16	1.1490E+00	5.6885E+00
1.1552E+00	1.5593E-16	1.1552E+00	5.5682E+00
1.1614E+00	1.5291E-16	1.1614E+00	5.4604E+00
1.1676E+00	1.5014E-16	1.1676E+00	5.3617E+00
1.1738E+00	1.4746E-16	1.1738E+00	5.2658E+00
1.1800E+00	1.4477E-16	1.1800E+00	5.1698E+00
1.1863E+00	1.4217E-16	1.1863E+00	5.0770E+00
1.1925E+00	1.3989E-16	1.1925E+00	4.9956E+00
1.1987E+00	1.3812E-16	1.1987E+00	4.9323E+00
1.2050E+00	1.3687E-16	1.2050E+00	4.8878E+00
1.2112E+00	1.3595E-16	1.2112E+00	4.8549E+00
1.2175E+00	1.3506E-16	1.2175E+00	4.8232E+00
1.2237E+00	1.3400E-16	1.2237E+00	4.7853E+00
1.2300E+00	1.3274E-16	1.2300E+00	4.7402E+00
1.2363E+00	1.3141E-16	1.2363E+00	4.6928E+00
1.2425E+00	1.3020E-16	1.2425E+00	4.6496E+00
1.2488E+00	1.2920E-16	1.2488E+00	4.6137E+00
1.2551E+00	1.2835E-16	1.2551E+00	4.5833E+00
1.2614E+00	1.2751E-16	1.2614E+00	4.5535E+00
1.2677E+00	1.2658E-16	1.2677E+00	4.5203E+00
1.2740E+00	1.2554E-16	1.2740E+00	4.4831E+00
1.2803E+00	1.2445E-16	1.2803E+00	4.4442E+00
1.2866E+00	1.2339E-16	1.2866E+00	4.4063E+00
1.2929E+00	1.2238E-16	1.2929E+00	4.3702E+00
1.2993E+00	1.2138E-16	1.2993E+00	4.3344E+00
1.3056E+00	1.2036E-16	1.3056E+00	4.2981E+00
1.3119E+00	1.1937E-16	1.3119E+00	4.2629E+00
1.3182E+00	1.1852E-16	1.3182E+00	4.2325E+00
1.3246E+00	1.1786E-16	1.3246E+00	4.2089E+00
1.3309E+00	1.1734E-16	1.3309E+00	4.1902E+00
1.3373E+00	1.1676E-16	1.3373E+00	4.1697E+00
1.3436E+00	1.1594E-16	1.3436E+00	4.1402E+00
1.3500E+00	1.1478E-16	1.3500E+00	4.0990E+00
1.3563E+00	1.1341E-16	1.3563E+00	4.0498E+00
1.3627E+00	1.1202E-16	1.3627E+00	4.0004E+00
1.3691E+00	1.1080E-16	1.3691E+00	3.9568E+00
1.3755E+00	1.0974E-16	1.3755E+00	3.9189E+00
1.3818E+00	1.0866E-16	1.3818E+00	3.8804E+00
1.3882E+00	1.0736E-16	1.3882E+00	3.8338E+00
1.3946E+00	1.0574E-16	1.3946E+00	3.7762E+00
1.4010E+00	1.0396E-16	1.4010E+00	3.7124E+00
1.4074E+00	1.0226E-16	1.4074E+00	3.6517E+00
1.4137E+00	1.0084E-16	1.4137E+00	3.6012E+00
1.4201E+00	9.9725E-17	1.4201E+00	3.5613E+00
1.4265E+00	9.8732E-17	1.4265E+00	3.5258E+00
1.4329E+00	9.7652E-17	1.4329E+00	3.4872E+00
1.4393E+00	9.6392E-17	1.4393E+00	3.4422E+00
1.4457E+00	9.5034E-17	1.4457E+00	3.3937E+00
1.4521E+00	9.3762E-17	1.4521E+00	3.3483E+00
1.4585E+00	9.2722E-17	1.4585E+00	3.3112E+00
1.4649E+00	9.1947E-17	1.4649E+00	3.2835E+00
1.4713E+00	9.1379E-17	1.4713E+00	3.2632E+00
1.4777E+00	9.0946E-17	1.4777E+00	3.2477E+00
1.4842E+00	9.0612E-17	1.4842E+00	3.2358E+00
1.4906E+00	9.0366E-17	1.4906E+00	3.2270E+00
1.4970E+00	9.0169E-17	1.4970E+00	3.2200E+00
1.5034E+00	8.9921E-17	1.5034E+00	3.2111E+00
1.5098E+00	8.9507E-17	1.5098E+00	3.1964E+00
1.5162E+00	8.8883E-17	1.5162E+00	3.1741E+00
1.5226E+00	8.8117E-17	1.5226E+00	3.1467E+00
1.5291E+00	8.7350E-17	1.5291E+00	3.1193E+00
1.5355E+00	8.6696E-17	1.5355E+00	3.0960E+00
1.5419E+00	8.6151E-17	1.5419E+00	3.0765E+00
1.5483E+00	8.5595E-17	1.5483E+00	3.0567E+00
1.5547E+00	8.4879E-17	1.5547E+00	3.0311E+00
1.5612E+00	8.3947E-17	1.5612E+00	2.9978E+00
1.5676E+00	8.2894E-17	1.5676E+00	2.9602E+00
1.5740E+00	8.1908E-17	1.5740E+00	2.9250E+00
1.5804E+00	8.1143E-17	1.5804E+00	2.8977E+00
1.5869E+00	8.0623E-17	1.5869E+00	2.8791E+00
1.5933E+00	8.0222E-17	1.5933E+00	2.8648E+00
1.5997E+00	7.9745E-17	1.5997E+00	2.8477E+00
1.6061E+00	7.9044E-17	1.6061E+00	2.8227E+00
1.6125E+00	7.8116E-17	1.6125E+00	2.7896E+00
1.6189E+00	7.7086E-17	1.6189E+00	2.7528E+00
1.6254E+00	7.6126E-17	1.6254E+00	2.7185E+00
1.6318E+00	7.5343E-17	1.6318E+00	2.6905E+00
1.6382E+00	7.4710E-17	1.6382E+00	2.6680E+00
1.6446E+00	7.4086E-17	1.6446E+00	2.6457E+00
1.6510E+00	7.3307E-17	1.6510E+00	2.6178E+00
1.6574E+00	7.2294E-17	1.6574E+00	2.5817E+00
1.6639E+00	7.1099E-17	1.6639E+00	2.5390E+00
1.6703E+00	6.9853E-17	1.6703E+00	2.4945E+00
1.6767E+00	6.8676E-17	1.6767E+00	2.4524E+00
1.6831E+00	6.7613E-17	1.6831E+00	2.4145E+00
1.6895E+00	6.6629E-17	1.6895E+00	2.3794E+00
1.6959E+00	6.5655E-17	1.6959E+00	2.3446E+00
1.7023E+00	6.4652E-17	1.7023E+00	2.3088E+00
1.7087E+00	6.3638E-17	1.7087E+00	2.2725E+00
1.7151E+00	6.2662E-17	1.7151E+00	2.2377E+00
1.7215E+00	6.1771E-17	1.7215E+00	2.2059E+00
1.7279E+00	6.0990E-17	1.7279E+00	2.1780E+00
1.7342E+00	6.0319E-17	1.7342E+00	2.1540E+00
1.7406E+00	5.9746E-17	1.7406E+00	2.1336E+00
1.7470E+00	5.9250E-17	1.7470E+00	2.1159E+00
1.7534E+00	5.8796E-17	1.7534E+00	2.0997E+00
1.7598E+00	5.8334E-17	1.7598E+00	2.0831E+00
1.7661E+00	5.7801E-17	1.7661E+00	2.0641E+00
1.7725E+00	5.7158E-17	1.7725E+00	2.0412E+00
1.7789E+00	5.6424E-17	1.7789E+00	2.0149E+00
1.7852E+00	5.5679E-17	1.7852E+00	1.9883E+00
1.7916E+00	5.5028E-17	1.7916E+00	1.9651E+00
1.7980E+00	5.4554E-17	1.7980E+00	1.9482E+00
1.8043E+00	5.4258E-17	1.8043E+00	1.9376E+00
1.8106E+00	5.4068E-17	1.8106E+00	1.9308E+00
1.8170E+00	5.3881E-17	1.8170E+00	1.9241E+00
1.8233E+00	5.3630E-17	1.8233E+00	1.9152E+00
1.8297E+00	5.3323E-17	1.8297E+00	1.9042E+00
1.8360E+00	5.3026E-17	1.8360E+00	1.8936E+00
1.8423E+00	5.2806E-17	1.8423E+00	1.8857E+00
1.8487E+00	5.2679E-17	1.8487E+00	1.8812E+00
1.8550E+00	5.2587E-17	1.8550E+00	1.8779E+00
1.8613E+00	5.2425E-17	1.8613E+00	1.8721E+00
1.8676E+00	5.2105E-17	1.8676E+00	1.8607E+00
1.8739E+00	5.1609E-17	1.8739E+00	1.8430E+00
1.8802E+00	5.1011E-17	1.8802E+00	1.8216E+00
1.8865E+00	5.0435E-17	1.8865E+00	1.8011E+00
1.8928E+00	4.9981E-17	1.8928E+00	1.7849E+00
1.8991E+00	4.9671E-17	1.8991E+00	1.7738E+00
1.9053E+00	4.9436E-17	1.9053E+00	1.7654E+00
1.9116E+00	4.9165E-17	1.9116E+00	1.7557E+00
1.9179E+00	4.8780E-17	1.9179E+00	1.7420E+00
1.9241E+00	4.8283E-17	1.9241E+00	1.7242E+00
1.9304E+00	4.7749E-17	1.9304E+00	1.7052E+00
1.9366E+00	4.7279E-17	1.9366E+00	1.6884E+00
1.9429E+00	4.6932E-17	1.9429E+00	1.6760E+00
1.9491E+00	4.6694E-17	1.9491E+00	1.6675E+00
1.9553E+00	4.6496E-17	1.9553E+00	1.6604E+00
1.9616E+00	4.6266E-17	1.9616E+00	1.6522E+00
1.9678E+00	4.5974E-17	1.9678E+00	1.6418E+00
1.9740E+00	4.5647E-17	1.9740E+00	1.6301E+00
1.9802E+00	4.5339E-17	1.9802E+00	1.6191E+00
1.9864E+00	4.5088E-17	1.9864E+00	1.6101E+00
1.9926E+00	4.4880E-17	1.9926E+00	1.6027E+00
1.9988E+00	4.4665E-17	1.9988E+00	1.5950E+00
2.0049E+00	4.4384E-17	2.0049E+00	1.5850E+00
2.0111E+00	4.4008E-17	2.0111E+00	1.5716E+00
2.0173E+00	4.3543E-17	2.0173E+00	1.5550E+00
2.0234E+00	4.3017E-17	2.0234E+00	1.5362E+00
2.0296E+00	4.2454E-17	2.0296E+00	1.5160E+00
2.0357E+00	4.1865E-17	2.0357E+00	1.4950E+00
2.0418E+00	4.1253E-17	2.0418E+00	1.4732E+00
2.0480E+00	4.0633E-17	2.0480E+00	1.4510E+00
2.0541E+00	4.0033E-17	2.0541E+00	1.4296E+00
2.0602E+00	3.9489E-17	2.0602E+00	1.4102E+00
2.0663E+00	3.9022E-17	2.0663E+00	1.3935E+00
2.0724E+00	3.8637E-17	2.0724E+00	1.3798E+00
2.0784E+00	3.8307E-17	2.0784E+00	1.3680E+00
2.0845E+00	3.7991E-17	2.0845E+00	1.3567E+00
2.0906E+00	3.7656E-17	2.0906E+00	1.3447E+00
2.0966E+00	3.7296E-17	2.0966E+00	1.3319E+00
2.1027E+00	3.6932E-17	2.1027E+00	1.3189E+00
2.1087E+00	3.6592E-17	2.1087E+00	1.3067E+00
2.1147E+00	3.6293E-17	2.1147E+00	1.2960E+00
2.1208E+00	3.6017E-17	2.1208E+00	1.2862E+00
2.1268E+00	3.5721E-17	2.1268E+00	1.2756E+00
2.1328E+00	3.5360E-17	2.1328E+00	1.2627E+00
2.1388E+00	3.4926E-17	2.1388E+00	1.2472E+00
2.1447E+00	3.4458E-17	2.1447E+00	1.2305E+00
2.1507E+00	3.4022E-17	2.1507E+00	1.2149E+00
2.1567E+00	3.3675E-17	2.1567E+00	1.2025E+00
2.1626E+00	3.3432E-17	2.1626E+00	1.1939E+00
2.1686E+00	3.3255E-17	2.1686E+00	1.1876E+00
2.1745E+00	3.3074E-17	2.1745E+00	1.1811E+00
2.1804E+00	3.2821E-17	2.1804E+00	1.1721E+00
2.1863E+00	3.2478E-17	2.1863E+00	1.1598E+00
2.1923E+00	3.2078E-17	2.1923E+00	1.1455E+00
2.1981E+00	3.1687E-17	2.1981E+00	1.1316E+00
2.2040E+00	3.1365E-17	2.2040E+00	1.1201E+00
2.2099E+00	3.1134E-17	2.2099E+00	1.1118E+00
2.2157E+00	3.0964E-17	2.2157E+00	1.1058E+00
2.2216E+00	3.0798E-17	2.2216E+00	1.0998E+00
2.2274E+00	3.0585E-17	2.2274E+00	1.0922E+00
2.2333E+00	3.0315E-17	2.2333E+00	1.0826E+00
2.2391E+00	3.0026E-17	2.2391E+00	1.0722E+00
2.2449E+00	2.9773E-17	2.2449E+00	1.0632E+00
2.2507E+00	2.9598E-17	2.2507E+00	1.0570E+00
2.2565E+00	2.9504E-17	2.2565E+00	1.0536E+00
2.2622E+00	2.9453E-17	2.2622E+00	1.0518E+00
2.2680E+00	2.9383E-17	2.2680E+00	1.0493E+00
2.2738E+00	2.9239E-17	2.2738E+00	1.0441E+00
2.2795E+00	2.9003E-17	2.2795E+00	1.0357E+00
2.2852E+00	2.8696E-17	2.2852E+00	1.0248E+00
2.2909E+00	2.8365E-17	2.2909E+00	1.0129E+00
2.2966E+00	2.8053E-17	2.2966E+00	1.0018E+00
2.3023E+00	2.7786E-17	2.3023E+00	9.9225E-01
2.3080E+00	2.7557E-17	2.3080E+00	9.8407E-01
2.3136E+00	2.7338E-17	2.3136E+00	9.7627E-01
2.3193E+00	2.7102E-17	2.3193E+00	9.6784E-01
2.3249E+00	2.6840E-17	2.3249E+00	9.5846E-01
2.3306E+00	2.6568E-17	2.3306E+00	9.4875E-01
2.3362E+00	2.6320E-17	2.3362E+00	9.3989E-01
2.3418E+00	2.6125E-17	2.3418E+00	9.3295E-01
2.3474E+00	2.5994E-17	2.3474E+00	9.2827E-01
2.3529E+00	2.5910E-17	2.3529E+00	9.2527E-01
2.3585E+00	2.5839E-17	2.3585E+00	9.2274E-01
2.3641E+00	2.5745E-17	2.3641E+00	9.1939E-01
2.3696E+00	2.5606E-17	2.3696E+00	9.1440E-01
2.3751E+00	2.5421E-17	2.3751E+00	9.0781E-01
2.3806E+00	2.5210E-17	2.3806E+00	9.0026E-01
2.3861E+00	2.4996E-17	2.3861E+00	8.9263E-01
2.3916E+00	2.4797E-17	2.3916E+00	8.8552E-01
2.3971E+00	2.4615E-17	2.3971E+00	8.7901E-01
2.4025E+00	2.4438E-17	2.4025E+00	8.7271E-01
2.4080E+00	2.4253E-17	2.4080E+00	8.6608E-01
2.4134E+00	2.4051E-17	2.4134E+00	8.5888E-01
2.4188E+00	2.3840E-17	2.4188E+00	8.5135E-01
2.4242E+00	2.3637E-17	2.4242E+00	8.4410E-01
2.4296E+00	2.3460E-17	2.4296E+00	8.3777E-01
2.4350E+00	2.3313E-17	2.4350E+00	8.3251E-01
2.4403E+00	2.3184E-17	2.4403E+00	8.2791E-01
2.4457E+00	2.3048E-17	2.4457E+00	8.2307E-01
2.4510E+00	2.2882E-17	2.4510E+00	8.1712E-01
2.4563E+00	2.2670E-17	2.4563E+00	8.0957E-01
2.4616E+00	2.2416E-17	2.4616E+00	8.0049E-01
2.4669E+00	2.2134E-17	2.4669E+00	7.9043E-01
2.4721E+00	2.1843E-17	2.4721E+00	7.8004E-01
2.4774E+00	2.1556E-17	2.4774E+00	7.6978E-01
2.4826E+00	2.1273E-17	2.4826E+00	7.5969E-01
2.4878E+00	2.0987E-17	2.4878E+00	7.4945E-01
2.4931E+00	2.0684E-17	2.4931E+00	7.3865E-01
2.4982E+00	2.0360E-17	2.4982E+00	7.2708E-01
2.5034E+00	2.0020E-17	2.5034E+00	7.1493E-01
2.5086E+00	1.9681E-17	2.5086E+00	7.0281E-01
2.5137E+00	1.9365E-17	2.5137E+00	6.9153E-01
2.5188E+00	1.9093E-17	2.5188E+00	6.8183E-01
2.5240E+00	1.8875E-17	2.5240E+00	6.7404E-01
2.5290E+00	1.8703E-17	2.5290E+00	6.6790E-01
2.5341E+00	1.8555E-17	2.5341E+00	6.6263E-01
2.5392E+00	1.8405E-17	2.5392E+00	6.5725E-01
2.5442E+00	1.8230E-17	2.5442E+00	6.5102E-01
2.5493E+00	1.8025E-17	2.5493E+00	6.4370E-01
2.5543E+00	1.7800E-17	2.5543E+00	6.3566E-01
2.5593E+00	1.7574E-17	2.5593E+00	6.2759E-01
2.5643E+00	1.7368E-17	2.5643E+00	6.2021E-01
2.5692E+00	1.7191E-17	2.5692E+00	6.1389E-01
2.5742E+00	1.7039E-17	2.5742E+00	6.0848E-01
2.5791E+00	1.6895E-17	2.5791E+00	6.0335E-01
2.5840E+00	1.6736E-17	2.5840E+00	5.9767E-01
2.5889E+00	1.6545E-17	2.5889E+00	5.9084E-01
2.5938E+00	1.6318E-17	2.5938E+00	5.8274E-01
2.5987E+00	1.6069E-17	2.5987E+00	5.7382E-01
2.6035E+00	1.5819E-17	2.6035E+00	5.6491E-01
2.6083E+00	1.5595E-17	2.6083E+00	5.5690E-01
2.6132E+00	1.5414E-17	2.6132E+00	5.5044E-01
2.6180E+00	1.5280E-17	2.6180E+00	5.4567E-01
2.6227E+00	1.5182E-17	2.6227E+00	5.4215E-01
2.6275E+00	1.5094E-17	2.6275E+00	5.3901E-01
2.6322E+00	1.4990E-17	2.6322E+00	5.3529E-01
2.6370E+00	1.4850E-17	2.6370E+00	5.3031E-01
2.6417E+00	1.4671E-17	2.6417E+00	5.2392E-01
2.6464E+00	1.4464E-17	2.6464E+00	5.1653E-01
2.6510E+00	1.4250E-17	2.6510E+00	5.0887E-01
2.6557E+00	1.4050E-17	2.6557E+00	5.0173E-01
2.6603E+00	1.3879E-17	2.6603E+00	4.9563E-01
2.6649E+00	1.3740E-17	2.6649E+00	4.9067E-01
2.6695E+00	1.3622E-17	2.6695E+00	4.8646E-01
2.6741E+00	1.3506E-17	2.6741E+00	4.8232E-01
2.6787E+00	1.3371E-17	2.6787E+00	4.7750E-01
2.6832E+00	1.3204E-17	2.6832E+00	4.7154E-01
2.6877E+00	1.3004E-17	2.6877E+00	4.6439E-01
2.6923E+00	1.2781E-17	2.6923E+00	4.5643E-01
2.6967E+00	1.2554E-17	2.6967E+00	4.4832E-01
2.7012E+00	1.2342E-17	2.7012E+00	4.4076E-01
2.7056E+00	1.2161E-17	2.7056E+00	4.3429E-01
2.7101E+00	1.2017E-17	2.7101E+00	4.2913E-01
2.7145E+00	1.1903E-17	2.7145E+00	4.2506E-01
2.7189E+00	1.1804E-17	2.7189E+00	4.2152E-01
2.7233E+00	1.1699E-17	2.7233E+00	4.1778E-01
2.7276E+00	1.1571E-17	2.7276E+00	4.1320E-01
2.7319E+00	1.1409E-17	2.7319E+00	4.0742E-01
2.7363E+00	1.1214E-17	2.7363E+00	4.0047E-01
2.7406E+00	1.0997E-17	2.7406E+00	3.9272E-01
2.7448E+00	1.0775E-17	2.7448E+00	3.8479E-01
2.7491E+00	1.0565E-17	2.7491E+00	3.7728E-01
2.7533E+00	1.0380E-17	2.7533E+00	3.7067E-01
2.7575E+00	1.0225E-17	2.7575E+00	3.6514E-01
2.7617E+00	1.0096E-17	2.7617E+00	3.6053E-01
2.7659E+00	9.9806E-18	2.7659E+00	3.5641E-01
2.7701E+00	9.8650E-18	2.7701E+00	3.5228E-01
2.7742E+00	9.7364E-18	2.7742E+00	3.4769E-01
2.7783E+00	9.5883E-18	2.7783E+00	3.4240E-01
2.7824E+00	9.4220E-18	2.7824E+00	3.3647E-01
2.7865E+00	9.2454E-18	2.7865E+00	3.3016E-01
2.7906E+00	9.0712E-18	2.7906E+00	3.2394E-01
2.7946E+00	8.9129E-18	2.7946E+00	3.1828E-01
2.7986E+00	8.7816E-18	2.7986E+00	3.1360E-01
2.8026E+00	8.6827E-18	2.8026E+00	3.1007E-01
2.8066E+00	8.6146E-18	2.8066E+00	3.0763E-01
2.8105E+00	8.5688E-18	2.8105E+00	3.0600E-01
2.8145E+00	8.5325E-18	2.8145E+00	3.0470E-01
2.8184E+00	8.4920E-18	2.8184E+00	3.0325E-01
2.8223E+00	8.4361E-18	2.8223E+00	3.0126E-01
2.8261E+00	8.3584E-18	2.8261E+00	2.9848E-01
2.8300E+00	8.2585E-18	2.8300E+00	2.9492E-01
2.8338E+00	8.1415E-18	2.8338E+00	2.9074E-01
2.8376E+00	8.0165E-18	2.8376E+00	2.8627E-01
2.8414E+00	7.8937E-18	2.8414E+00	2.8189E-01
2.8452E+00	7.7822E-18	2.8452E+00	2.7791E-01
2.8489E+00	7.6872E-18	2.8489E+00	2.7452E-01
2.8526E+00	7.6092E-18	2.8526E+00	2.7173E-01
2.8563E+00	7.5441E-18	2.8563E+00	2.6940E-01
2.8600E+00	7.4846E-18	2.8600E+00	2.6728E-01
2.8637E+00	7.4228E-18	2.8637E+00	2.6507E-01
2.8673E+00	7.3520E-18	2.8673E+00	2.6254E-01
2.8709E+00	7.2679E-18	2.8709E+00	2.5954E-01
2.8745E+00	7.1699E-18	2.8745E+00	2.5604E-01
